numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude
124,CAN,Canada,2013,Very High,15,NOTAPPLICABLE,False,False,False,35293421,1514296485427.0,7.477,33.8,High income,6,16.11,17.468,35.0,113458.836,1090.315,0.028,1.612,3.915,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2014,Very High,15,NOTAPPLICABLE,False,False,False,35634265,1557757464897.0,7.452,33.2,High income,4,15.854,16.812,33.82,112508.438,1064.06,0.028,1.593,4.357,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2015,Very High,15,NOTAPPLICABLE,False,False,False,35962236,1568025782105.0,7.427,33.7,High income,4,15.655,15.939,34.42,111824.336,1095.191,0.028,1.59,4.532,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2016,Very High,15,NOTAPPLICABLE,False,False,False,36353345,1583727974022.0,7.404,32.7,High income,5,15.231,15.04,35.46,109289.445,1109.252,0.029,1.564,3.842,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2017,Very High,15,NOTAPPLICABLE,False,False,False,36808498,1631871440185.0,7.316,33.3,High income,6,15.395,15.067,36.48,109394.164,1132.01,0.029,1.575,4.434,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2018,Very High,15,NOTAPPLICABLE,False,False,False,37294996,1677189073139.0,7.328,32.5,High income,6,15.42,14.925,35.84,109464.797,1109.259,0.029,1.566,3.786,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2019,Very High,15,NOTAPPLICABLE,False,False,False,37782934,1708858221312.0,7.278,31.8,High income,7,15.325,14.534,35.05,107455.625,1092.604,0.029,1.561,3.175,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2020,Very High,15,NOTAPPLICABLE,False,False,False,38171903,1622144486274.0,7.232,29.9,High income,9,13.733,13.175,35.05,100465.109,1108.259,0.03,1.491,3.199,America,Northern America,Northern Hemisphere,60.0,-95.0
124,CAN,Canada,2021,Very High,15,NOTAPPLICABLE,False,False,False,38454058,1703443269914.0,7.103,31.1,High income,12,13.977,13.625,35.05,100431.008,1103.852,0.03,1.458,3.517,America,Northern America,Northern Hemisphere,60.0,-95.0
756,CHE,Switzerland,2013,Very High,1,NOTAPPLICABLE,False,False,False,8091199,481081829913.0,7.65,32.5,High income,3,5.337,18.925,38.28,44387.238,105.032,0.001,0.122,0.007,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2014,Very High,1,NOTAPPLICABLE,False,False,False,8190238,492386642888.0,7.6185,32.5,High income,1,4.792,19.537,36.18,42054.887,104.666,0.001,0.111,-0.014,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2015,Very High,1,NOTAPPLICABLE,False,False,False,8283940,500484653705.0,7.587,32.3,High income,1,4.678,19.273,33.83,40599.23,105.561,0.001,0.109,-0.012,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2016,Very High,1,NOTAPPLICABLE,False,False,False,8374903,510838097521.0,7.509,33.0,High income,2,4.684,20.395,35.31,37761.055,96.95,0.001,0.111,-0.025,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2017,Very High,1,NOTAPPLICABLE,False,False,False,8453630,517799793781.0,7.494,32.7,High income,3,4.523,16.002,32.82,37498.082,97.0,0.001,0.106,0.007,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2018,Very High,1,NOTAPPLICABLE,False,False,False,8516341,532611137213.0,7.487,33.1,High income,4,4.338,14.932,30.44,37746.012,98.792,0.001,0.101,-0.004,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2019,Very High,1,NOTAPPLICABLE,False,False,False,8577525,538693495449.0,7.48,34.0,High income,5,4.293,14.457,31.14,39166.934,106.805,0.001,0.099,-0.025,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2020,Very High,1,NOTAPPLICABLE,False,False,False,8640582,525896489462.0,7.56,33.7,High income,3,3.975,12.708,31.14,35831.172,107.5,0.001,0.098,-0.035,Europe,Western Europe,Northern Hemisphere,47.0,8.0
756,CHE,Switzerland,2021,Very High,1,NOTAPPLICABLE,False,False,False,8707019,548098275898.0,7.571,33.8,High income,3,4.123,13.873,31.14,33316.562,105.486,0.001,0.097,-0.017,Europe,Western Europe,Northern Hemisphere,47.0,8.0
152,CHL,Chile,2013,Very High,42,LAC,False,False,False,17687006,371454072393.0,6.587,46.8,High income,22,4.621,5.239,11.66,23393.406,73.875,0.003,0.232,2.053,America,Latin America and the Caribbean,Southern Hemisphere,-30.0,-71.0
152,CHL,Chile,2014,Very High,42,LAC,False,False,False,17864192,378114271615.0,6.6285,46.05,High income,22,4.343,4.786,10.68,22924.852,79.071,0.003,0.219,2.103,America,Latin America and the Caribbean,Southern Hemisphere,-30.0,-71.0
152,CHL,Chile,2015,Very High,42,LAC,False,False,False,18047630,386251266445.0,6.67,45.3,High income,20,4.531,4.885,11.41,22952.033,85.992,0.003,0.231,1.953,America,Latin America and the Caribbean,Southern Hemisphere,-30.0,-71.0
