,country,iso_code,year,co2_per_capita,consumption_co2_per_capita,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,population,gdp,energy_per_capita,renewables_consumption,happiness_index,happiness_index_rank,continent,hemisphere,human_development_groups,hdi_rank_2021,undp_developing_regions,material_footprint_per_capita,gini_index
217,Belarus,BLR,2014,6.725,7.052,0.004,0.18,0.271,9472704.0,180627882895.0,31127.623,0.871,5.6585,,Europe,Northern Hemisphere,Very High,60.0,ECA,7.98,27.2
218,Belarus,BLR,2015,6.201,6.662,0.004,0.166,0.344,9487289.0,173709821418.0,28138.871,0.922,5.813,59.0,Europe,Northern Hemisphere,Very High,60.0,ECA,6.53,25.6
219,Belarus,BLR,2016,6.126,6.981,0.004,0.164,0.404,9499066.0,169304543676.0,28718.361,1.105,5.802,61.0,Europe,Northern Hemisphere,Very High,60.0,ECA,5.63,25.3
220,Belarus,BLR,2017,6.26,7.246,0.004,0.165,0.346,9495793.0,173606575679.0,29259.266,2.017,5.569,67.0,Europe,Northern Hemisphere,Very High,60.0,ECA,6.18,25.4
221,Belarus,BLR,2018,6.558,7.732,0.004,0.169,0.216,9480031.0,179054352755.0,32402.701,1.83,5.483,73.0,Europe,Northern Hemisphere,Very High,60.0,ECA,6.75,25.2
222,Belarus,BLR,2019,6.589,7.654,0.004,0.168,0.021,9435415.0,181643469714.0,32726.744,2.231,5.323,81.0,Europe,Northern Hemisphere,Very High,60.0,ECA,5.59,25.3
223,Belarus,BLR,2020,6.323,7.107,0.004,0.168,-0.108,9350943.0,180420997693.0,30643.369,2.702,5.54,75.0,Europe,Northern Hemisphere,Very High,60.0,ECA,5.59,24.4
224,Belarus,BLR,2021,6.579,7.599,0.004,0.165,-0.184,9251368.0,184521985376.0,33803.074,3.455,5.534,75.0,Europe,Northern Hemisphere,Very High,60.0,ECA,5.59,
252,Brazil,BRA,2013,2.678,3.002,0.052,1.507,6.43,198478290.0,3116394665745.0,17638.982,1317.562,6.849,24.0,America,Southern Hemisphere,High,87.0,LAC,20.78,52.7
253,Brazil,BRA,2014,2.781,3.065,0.053,1.569,6.587,200085126.0,3132099937531.0,17870.57,1317.889,6.916,,America,Southern Hemisphere,High,87.0,LAC,19.96,52.1
254,Brazil,BRA,2015,2.619,2.758,0.054,1.492,6.665,201675534.0,3021043246476.0,17530.328,1343.086,6.983,16.0,America,Southern Hemisphere,High,87.0,LAC,19.04,51.9
255,Brazil,BRA,2016,2.42,2.416,0.054,1.389,6.202,203218108.0,2922076150345.0,16983.99,1403.47,6.952,17.0,America,Southern Hemisphere,High,87.0,LAC,18.57,53.4
256,Brazil,BRA,2017,2.429,2.475,0.055,1.382,5.482,204703440.0,2960731613785.0,16988.619,1406.64,6.635,22.0,America,Southern Hemisphere,High,87.0,LAC,18.89,53.3
257,Brazil,BRA,2018,2.312,2.35,0.056,1.297,5.638,206107265.0,3013541086239.0,16915.357,1505.676,6.419,28.0,America,Southern Hemisphere,High,87.0,LAC,18.28,53.9
258,Brazil,BRA,2019,2.298,2.343,0.057,1.285,5.966,207455459.0,3050327159562.0,17194.145,1576.005,6.3,32.0,America,Southern Hemisphere,High,87.0,LAC,18.87,53.5
259,Brazil,BRA,2020,2.147,2.095,0.058,1.274,6.562,208660845.0,2950377451264.0,16401.875,1575.936,6.376,32.0,America,Southern Hemisphere,High,87.0,LAC,18.87,48.8
260,Brazil,BRA,2021,2.37,2.259,0.059,1.347,7.404,209550291.0,3097565215045.0,17089.926,1531.76,6.33,35.0,America,Southern Hemisphere,High,87.0,LAC,18.87,52.9
306,Canada,CAN,2013,16.11,17.468,0.028,1.612,3.915,35293421.0,1514296485427.0,113458.836,1090.315,7.477,6.0,America,Northern Hemisphere,Very High,15.0,,35.0,33.8
307,Canada,CAN,2014,15.854,16.812,0.028,1.593,4.357,35634265.0,1557757464897.0,112508.438,1064.06,7.452,,America,Northern Hemisphere,Very High,15.0,,33.82,33.2
308,Canada,CAN,2015,15.655,15.939,0.028,1.59,4.532,35962236.0,1568025782105.0,111824.336,1095.191,7.427,5.0,America,Northern Hemisphere,Very High,15.0,,34.42,33.7
309,Canada,CAN,2016,15.231,15.04,0.029,1.564,3.842,36353345.0,1583727974022.0,109289.445,1109.252,7.404,6.0,America,Northern Hemisphere,Very High,15.0,,35.46,32.7
310,Canada,CAN,2017,15.395,15.067,0.029,1.575,4.434,36808498.0,1631871440185.0,109394.164,1132.01,7.316,7.0,America,Northern Hemisphere,Very High,15.0,,36.48,33.3
311,Canada,CAN,2018,15.42,14.925,0.029,1.566,3.786,37294996.0,1677189073139.0,109464.797,1109.259,7.328,7.0,America,Northern Hemisphere,Very High,15.0,,35.84,32.5
312,Canada,CAN,2019,15.325,14.534,0.029,1.561,3.175,37782934.0,1708858221312.0,107455.625,1092.604,7.278,9.0,America,Northern Hemisphere,Very High,15.0,,35.05,31.8
313,Canada,CAN,2020,13.733,13.175,0.03,1.491,3.199,38171903.0,1622144486274.0,100465.109,1108.259,7.232,11.0,America,Northern Hemisphere,Very High,15.0,,35.05,29.9
314,Canada,CAN,2021,13.977,13.625,0.03,1.458,3.517,38454058.0,1703443269914.0,100431.008,1103.852,7.103,14.0,America,Northern Hemisphere,Very High,15.0,,35.05,31.1
315,Switzerland,CHE,2013,5.337,18.925,0.001,0.122,0.007,8091199.0,481081829913.0,44387.238,105.032,7.65,3.0,Europe,Northern Hemisphere,Very High,1.0,,38.28,32.5
316,Switzerland,CHE,2014,4.792,19.537,0.001,0.111,-0.014,8190238.0,492386642888.0,42054.887,104.666,7.6185,,Europe,Northern Hemisphere,Very High,1.0,,36.18,32.5
317,Switzerland,CHE,2015,4.678,19.273,0.001,0.109,-0.012,8283940.0,500484653705.0,40599.23,105.561,7.587,1.0,Europe,Northern Hemisphere,Very High,1.0,,33.83,32.3
318,Switzerland,CHE,2016,4.684,20.395,0.001,0.111,-0.025,8374903.0,510838097521.0,37761.055,96.95,7.509,2.0,Europe,Northern Hemisphere,Very High,1.0,,35.31,33.0
319,Switzerland,CHE,2017,4.523,16.002,0.001,0.106,0.007,8453630.0,517799793781.0,37498.082,97.0,7.494,4.0,Europe,Northern Hemisphere,Very High,1.0,,32.82,32.7
320,Switzerland,CHE,2018,4.338,14.932,0.001,0.101,-0.004,8516341.0,532611137213.0,37746.012,98.792,7.487,5.0,Europe,Northern Hemisphere,Very High,1.0,,30.44,33.1
321,Switzerland,CHE,2019,4.293,14.457,0.001,0.099,-0.025,8577525.0,538693495449.0,39166.934,106.805,7.48,6.0,Europe,Northern Hemisphere,Very High,1.0,,31.14,34.0
322,Switzerland,CHE,2020,3.975,12.708,0.001,0.098,-0.035,8640582.0,525896489462.0,35831.172,107.5,7.56,3.0,Europe,Northern Hemisphere,Very High,1.0,,31.14,33.7
323,Switzerland,CHE,2021,4.123,13.873,0.001,0.097,-0.017,8707019.0,548098275898.0,33316.562,105.486,7.571,3.0,Europe,Northern Hemisphere,Very High,1.0,,31.14,33.8
324,Chile,CHL,2013,4.621,5.239,0.003,0.232,2.053,17687006.0,371454072393.0,23393.406,73.875,6.587,28.0,America,Southern Hemisphere,Very High,42.0,LAC,11.66,46.8
325,Chile,CHL,2014,4.343,4.786,0.003,0.219,2.103,17864192.0,378114271615.0,22924.852,79.071,6.6285,,America,Southern Hemisphere,Very High,42.0,LAC,10.68,
326,Chile,CHL,2015,4.531,4.885,0.003,0.231,1.953,18047630.0,386251266445.0,22952.033,85.992,6.67,27.0,America,Southern Hemisphere,Very High,42.0,LAC,11.41,45.3
327,Chile,CHL,2016,4.612,4.863,0.003,0.238,1.977,18267225.0,393022253885.0,23753.109,83.049,6.705,24.0,America,Southern Hemisphere,Very High,42.0,LAC,12.57,
328,Chile,CHL,2017,4.533,4.785,0.003,0.234,1.757,18558868.0,398359518680.0,24265.859,95.397,6.652,20.0,America,Southern Hemisphere,Very High,42.0,LAC,12.65,45.3
329,Chile,CHL,2018,4.469,4.91,0.003,0.23,1.562,18893185.0,414254051745.0,24785.533,108.401,6.476,25.0,America,Southern Hemisphere,Very High,42.0,LAC,13.32,
330,Chile,CHL,2019,4.791,5.103,0.003,0.248,1.415,19197748.0,417331966568.0,24689.287,105.567,6.444,26.0,America,Southern Hemisphere,Very High,42.0,LAC,13.5,
331,Chile,CHL,2020,4.139,4.291,0.003,0.228,1.76,19370621.0,391686945225.0,22842.719,108.616,6.228,39.0,America,Southern Hemisphere,Very High,42.0,LAC,13.5,47.0
332,Chile,CHL,2021,4.298,4.682,0.003,0.227,1.169,19456323.0,437659188270.0,24509.102,110.322,6.172,43.0,America,Southern Hemisphere,Very High,42.0,LAC,13.5,
333,China,CHN,2013,7.21,6.256,0.102,28.185,0.017,1379008040.0,15925464549520.0,24548.49,2852.832,4.978,93.0,Asia,Northern Hemisphere,High,79.0,EAP,21.37,39.7
334,China,CHN,2014,7.188,6.283,0.107,28.129,-0.096,1387951970.0,17103948867278.0,25021.807,3344.307,5.058999999999999,,Asia,Northern Hemisphere,High,79.0,EAP,21.77,39.2
335,China,CHN,2015,7.061,6.296,0.111,27.845,-0.02,1396134171.0,18301224436466.0,25166.627,3587.629,5.14,84.0,Asia,Northern Hemisphere,High,79.0,EAP,21.29,38.6
336,China,CHN,2016,6.943,6.176,0.116,27.543,-0.103,1404052628.0,19545709173693.0,25125.633,3891.976,5.245,83.0,Asia,Northern Hemisphere,High,79.0,EAP,21.73,38.5
337,China,CHN,2017,7.08,6.342,0.12,27.797,-0.131,1412354730.0,20894362082435.0,25949.135,4243.345,5.273,79.0,Asia,Northern Hemisphere,High,79.0,EAP,21.51,39.1
338,China,CHN,2018,7.292,6.655,0.125,28.167,-0.125,1419008954.0,22294284747546.0,27068.061,4659.087,5.246,86.0,Asia,Northern Hemisphere,High,79.0,EAP,21.34,38.5
